Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Игрок,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:29,2022-03-03 12:40:47,"5m - 18,371s",PASSED
,,,,,,,
Test Cases/Игрок/Авторизация,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:31,2022-03-03 12:36:54,"1m - 23,500s",PASSED
"openBrowser("""")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:35:35,2022-03-03 12:36:37,"1m - 1,790s",PASSED
maximizeWindow(),Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:37,2022-03-03 12:36:37,"0,494s",PASSED
navigateToUrl(url),Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:37,2022-03-03 12:36:44,"6,921s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj""), player_login)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:44,2022-03-03 12:36:48,"4,126s",PASSED
"setText(findTestObject(""Object Repository/manager/Page_/input__sc-lnrBVv eqPACj_1""), player_password)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:48,2022-03-03 12:36:52,"3,967s",PASSED
"click(findTestObject(""manager/Page_/go""))",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:52,2022-03-03 12:36:54,"2,101s",PASSED
,,,,,,,
Test Cases/Игрок/Отчеты,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:54,2022-03-03 12:40:47,"3m - 52,805s",PASSED
"callTestCase(findTestCase(""Игрок/Авторизация""), [:], STOP_ON_FAILURE)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:36:54,2022-03-03 12:38:57,"2m - 2,805s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/report""))",Linux - Chrome 97.0.4692.71,Вкладка отчеты,,2022-03-03 12:38:57,2022-03-03 12:39:09,"11,548s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/psixolog""))",Linux - Chrome 97.0.4692.71,Психологический отчет,,2022-03-03 12:39:09,2022-03-03 12:39:11,"2,085s",PASSED
"if (verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/div_ganin""), ""Ганин Данила"", OPTIONAL) == true)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:11,2022-03-03 12:39:46,"35,130s",PASSED
else,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:46,2022-03-03 12:39:50,"3,975s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/div_ganin""), ""Ганин Данила"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:50,2022-03-03 12:39:50,"0,004s",NOT_RUN
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/reaction easy""), 0)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:50,2022-03-03 12:39:52,"2,397s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/reaction easy""), ""Реакция на простой стимул"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:52,2022-03-03 12:39:54,"1,941s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/reaction hard""), ""Реакция на сложный стимул"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:54,2022-03-03 12:39:56,"1,788s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/button burg date (1)""), 0)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:56,2022-03-03 12:39:58,"1,931s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/tab""))",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:39:58,2022-03-03 12:40:00,"1,929s",PASSED
"if (verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/div_ganin""), ""Ганин Данила"", OPTIONAL) == true)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:00,2022-03-03 12:40:34,"33,591s",PASSED
else,Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:34,2022-03-03 12:40:38,"4,120s",PASSED
"scrollToElement(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/xarakteristika""), 0)",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:38,2022-03-03 12:40:40,"2,719s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/xarakteristika""), ""Экстраверсия"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:40,2022-03-03 12:40:42,"2,000s",PASSED
"verifyElementText(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/xarakteristika 2""), ""Спонтанность"")",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:42,2022-03-03 12:40:44,"1,931s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Игрок)/Case (отчеты)/home g (1)""))",Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:44,2022-03-03 12:40:46,"2,132s",PASSED
closeBrowser(),Linux - Chrome 97.0.4692.71,,,2022-03-03 12:40:46,2022-03-03 12:40:47,"0,509s",PASSED
