Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Менеждер,Chrome 100.0.4896.75,,,2022-04-14 16:09:02,2022-04-14 16:15:22,"6m - 19,831s",FAILED
,,,,,,,
Test Cases/Менеджер/Авторизация,Chrome 100.0.4896.75,"авторизация ,используется в остальных тест кейсах
",,2022-04-14 16:09:24,2022-04-14 16:09:32,"7,742s",FAILED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-14 16:09:24,2022-04-14 16:09:26,"1,673s",PASSED
maximizeWindow(),Chrome 100.0.4896.75,развернуть на полный экран,,2022-04-14 16:09:26,2022-04-14 16:09:26,"0,125s",PASSED
navigateToUrl(url),Chrome 100.0.4896.75,"переход на сайт
",,2022-04-14 16:09:26,2022-04-14 16:09:31,"5,527s",PASSED
"setText(findTestObject(""Object Repository/Page_/input__sc-lnrBVv eqPACj""), manager_login)",Chrome 100.0.4896.75,"ввод логина
",,2022-04-14 16:09:31,2022-04-14 16:09:32,"0,375s",FAILED
,,,,,,,
Test Cases/Менеджер/Профиль Менеджера,Chrome 100.0.4896.75,"смоук + функциональное тестирование профиля администратора
",,2022-04-14 16:09:53,2022-04-14 16:10:00,"6,466s",FAILED
"callTestCase(findTestCase(""Менеджер/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-14 16:09:53,2022-04-14 16:10:00,"6,431s",FAILED
,,,,,,,
Test Cases/Менеджер/Менеджер Документы,Chrome 100.0.4896.75,просмотр вкладки документов и возможность добавления новых,,2022-04-14 16:10:22,2022-04-14 16:10:28,"6,489s",FAILED
"callTestCase(findTestCase(""Менеджер/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-14 16:10:22,2022-04-14 16:10:28,"6,449s",FAILED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/Игровая статистика Админ,Chrome 100.0.4896.75,"функциональный тест
",,2022-04-14 16:10:28,2022-04-14 16:10:57,"28,482s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-14 16:10:28,2022-04-14 16:10:39,"10,856s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/report""))",Chrome 100.0.4896.75,Вкладка Отчеты,,2022-04-14 16:10:39,2022-04-14 16:10:48,"8,282s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/game stat""))",Chrome 100.0.4896.75,Игровая статистика,,2022-04-14 16:10:48,2022-04-14 16:10:48,"0,677s",PASSED
"setText(findTestObject(""Avangard New/Object (Администратор)/Сase (Игровая статистика)/input__school game stat""), ""Академия"")",Chrome 100.0.4896.75,Ввод фильтра,,2022-04-14 16:10:48,2022-04-14 16:10:49,"1,098s",PASSED
"sendKeys(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/input__school game stat""), Keys.chord(ENTER))",Chrome 100.0.4896.75,,,2022-04-14 16:10:49,2022-04-14 16:10:50,"0,600s",PASSED
"setText(findTestObject(""Avangard New/Object (Администратор)/Сase (Игровая статистика)/input__team school game""), ""Омские"")",Chrome 100.0.4896.75,Ввод фильтра 2,,2022-04-14 16:10:50,2022-04-14 16:10:51,"1,026s",PASSED
"sendKeys(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/input__team school game""), Keys.chord(ENTER))",Chrome 100.0.4896.75,,,2022-04-14 16:10:51,2022-04-14 16:10:52,"0,591s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/input__amplua""), ""Нападающий"")",Chrome 100.0.4896.75,Ввод фильтра 3,,2022-04-14 16:10:52,2022-04-14 16:10:53,"1,355s",PASSED
"sendKeys(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/input__amplua""), Keys.chord(ENTER))",Chrome 100.0.4896.75,,,2022-04-14 16:10:53,2022-04-14 16:10:53,"0,588s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Сase (Игровая статистика)/match stat""), ""Матчи"")",Chrome 100.0.4896.75,Проверки ниже,,2022-04-14 16:10:53,2022-04-14 16:10:55,"1,409s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Сase (Игровая статистика)/game stat time""), ""Игр. время"")",Chrome 100.0.4896.75,,,2022-04-14 16:10:55,2022-04-14 16:10:55,"0,350s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/stat mach number""))",Chrome 100.0.4896.75,Проверка что баллы отображается,,2022-04-14 16:10:55,2022-04-14 16:10:56,"0,361s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/grade stat gamne""))",Chrome 100.0.4896.75,Проверка что оценка отображается,,2022-04-14 16:10:56,2022-04-14 16:10:56,"0,341s",PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-14 16:10:56,2022-04-14 16:10:57,"0,662s",PASSED
,,,,,,,
Test Cases/Администратор/ОТЧЕТЫ функциональные тесты/будет переделываться Отчет по играм за период,Chrome 100.0.4896.75,функциональный тест,,2022-04-14 16:13:27,2022-04-14 16:14:16,"49,295s",FAILED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-14 16:13:27,2022-04-14 16:13:35,"8,249s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Сase (Игровая статистика)/report""))",Chrome 100.0.4896.75,Вкладка Отчеты,,2022-04-14 16:13:35,2022-04-14 16:13:42,"6,862s",PASSED
"click(findTestObject(""Object Repository/admin/reports/period/Page_/div_""))",Chrome 100.0.4896.75,выбор отчета ,,2022-04-14 16:13:42,2022-04-14 16:14:14,"31,880s",PASSED
"verifyTextPresent(""ОТЧЕТ ПО ИГРАМ ЗА ПЕРИОД"", true)",Chrome 100.0.4896.75,,,2022-04-14 16:14:14,2022-04-14 16:14:16,"2,232s",FAILED
,,,,,,,
Test Cases/Администратор/Профиль игрока (Для проверки и под менеджером),Chrome 100.0.4896.75,просмотр списка игроков и профиля игрока со всеми вкладками,,2022-04-14 16:14:16,2022-04-14 16:14:53,"37,242s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/role admin""), ""Администратор"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:17,2022-04-14 16:14:17,"0,001s",NOT_RUN
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,Авторизация,,2022-04-14 16:14:17,2022-04-14 16:14:25,"8,716s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/role admin""), 0)",Chrome 100.0.4896.75,,,2022-04-14 16:14:25,2022-04-14 16:14:31,"6,222s",PASSED
"if (verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/role admin""), ""Администратор"", OPTIONAL) == true)",Chrome 100.0.4896.75,,,2022-04-14 16:14:31,2022-04-14 16:14:32,"0,513s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/students""))",Chrome 100.0.4896.75,Переход на вкладку Игроки,,2022-04-14 16:14:32,2022-04-14 16:14:33,"0,558s",PASSED
"setText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/input__school""), """"Авангард"" Академия"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:33,2022-04-14 16:14:34,"1,632s",PASSED
"sendKeys(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/input__school""), Keys.chord(ENTER))",Chrome 100.0.4896.75,,,2022-04-14 16:14:34,2022-04-14 16:14:35,"0,599s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/input""), player_for_test_1)",Chrome 100.0.4896.75,,,2022-04-14 16:14:35,2022-04-14 16:14:36,"1,482s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/player profile""))",Chrome 100.0.4896.75,Выбор игрока,,2022-04-14 16:14:36,2022-04-14 16:14:38,"1,962s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/personal date""), ""ЛИЧНЫЕ ДАННЫЕ"")",Chrome 100.0.4896.75,Проверка вкладки Основные,,2022-04-14 16:14:38,2022-04-14 16:14:39,"0,688s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_predstaviteli""))",Chrome 100.0.4896.75,Вкладка представители,,2022-04-14 16:14:39,2022-04-14 16:14:39,"0,515s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/string family""), ""СЕМЬЯ"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:39,2022-04-14 16:14:40,"0,457s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_status""))",Chrome 100.0.4896.75,Вкладка Статусы,,2022-04-14 16:14:40,2022-04-14 16:14:41,"0,723s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_game""))",Chrome 100.0.4896.75,Вкладка Игры,,2022-04-14 16:14:41,2022-04-14 16:14:42,"1,383s",PASSED
"verifyElementPresent(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/zveno 1 verif""), 0)",Chrome 100.0.4896.75,Проверка что звено есть,,2022-04-14 16:14:42,2022-04-14 16:14:43,"1,015s",PASSED
"verifyElementPresent(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/game spisok""), 0)",Chrome 100.0.4896.75,,,2022-04-14 16:14:43,2022-04-14 16:14:43,"0,315s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_rank""))",Chrome 100.0.4896.75,Вкладка Рейтинг ,,2022-04-14 16:14:43,2022-04-14 16:14:44,"0,517s",PASSED
"verifyElementPresent(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/canvas""), 0)",Chrome 100.0.4896.75,Проверка отображения рейтинга,,2022-04-14 16:14:44,2022-04-14 16:14:45,"1,339s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_stat""))",Chrome 100.0.4896.75,Вкладка Статистика,,2022-04-14 16:14:45,2022-04-14 16:14:46,"0,512s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/div_math""), ""Матчи"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:46,2022-04-14 16:14:48,"2,109s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_game grade""))",Chrome 100.0.4896.75,Вкладка Оценка игр,,2022-04-14 16:14:48,2022-04-14 16:14:48,"0,527s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/attack in grade""), 0)",Chrome 100.0.4896.75,,,2022-04-14 16:14:48,2022-04-14 16:14:49,"0,988s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/attack in grade""), ""АТАКУЮЩИЕ ДЕЙСТВИЯ"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:49,2022-04-14 16:14:50,"0,439s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/strelka""), 0)",Chrome 100.0.4896.75,,,2022-04-14 16:14:50,2022-04-14 16:14:50,"0,385s",PASSED
"click(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/strelka""))",Chrome 100.0.4896.75,Стрелка вбок,,2022-04-14 16:14:50,2022-04-14 16:14:51,"0,532s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Профиль игрока)/button_grade naviki""))",Chrome 100.0.4896.75,Вкладка Оценка навыков,,2022-04-14 16:14:51,2022-04-14 16:14:51,"0,620s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/div_1 etap1""), ""Этап №1"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:51,2022-04-14 16:14:52,"1,038s",PASSED
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Профиль игрока)/div_speed""), ""Ускорение"")",Chrome 100.0.4896.75,,,2022-04-14 16:14:52,2022-04-14 16:14:53,"0,327s",PASSED
closeBrowser(),Chrome 100.0.4896.75,,,2022-04-14 16:14:53,2022-04-14 16:14:53,"0,862s",PASSED
,,,,,,,
Test Cases/Администратор/дописать физ. тест Рейтинг игроков,Chrome 100.0.4896.75,смоук тест,,2022-04-14 16:14:53,2022-04-14 16:15:22,"28,467s",PASSED
"callTestCase(findTestCase(""Администратор/Авторизация""), [:], STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-14 16:14:54,2022-04-14 16:15:02,"8,257s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/rank palyer""))",Chrome 100.0.4896.75,Вкладка Рейтинг игроков,,2022-04-14 16:15:02,2022-04-14 16:15:09,"7,302s",PASSED
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/school rank""))",Chrome 100.0.4896.75,,,2022-04-14 16:15:09,2022-04-14 16:15:09,"0,000s",NOT_RUN
"setText(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/input__rank""), """"Авангард"" Академия"")",Chrome 100.0.4896.75,Вводим школу,,2022-04-14 16:15:09,2022-04-14 16:15:10,"1,065s",PASSED
"sendKeys(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/input__rank""), Keys.chord(ENTER))",Chrome 100.0.4896.75,,,2022-04-14 16:15:10,2022-04-14 16:15:11,"0,685s",PASSED
"click(findTestObject(""Avangard New/Object (Администратор)/Case (Рейтинг игроков)/team rank""))",Chrome 100.0.4896.75,,,2022-04-14 16:15:11,2022-04-14 16:15:12,"0,599s",PASSED
"setText(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/input__react-select-4-input""), school)",Chrome 100.0.4896.75,Вводим команду,,2022-04-14 16:15:12,2022-04-14 16:15:13,"1,032s",PASSED
"sendKeys(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/input__react-select-4-input""), Keys.chord(ENTER))",Chrome 100.0.4896.75,,,2022-04-14 16:15:13,2022-04-14 16:15:13,"0,561s",PASSED
"scrollToElement(findTestObject(""Avangard New/Object (Администратор)/Case (Рейтинг игроков)/Univarsal player""), 0)",Chrome 100.0.4896.75,,,2022-04-14 16:15:13,2022-04-14 16:15:14,"0,941s",PASSED
"click(findTestObject(""Avangard New/Object (Администратор)/Case (Рейтинг игроков)/Univarsal player""))",Chrome 100.0.4896.75,,,2022-04-14 16:15:14,2022-04-14 16:15:15,"0,878s",PASSED
"comment("""")",Chrome 100.0.4896.75,Попросить Настю добавить атрибут Фамилию к рейтингу чтобы тест написать,,2022-04-14 16:15:15,2022-04-14 16:15:15,"0,010s",PASSED
"if (verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Рейтинг игроков)/team rank""), ""Авангард-2005"", OPTIONAL) == true)",Chrome 100.0.4896.75,,,2022-04-14 16:15:15,2022-04-14 16:15:15,"0,000s",NOT_RUN
"verifyElementText(findTestObject(""Avangard New/Object (Администратор)/Case (Рейтинг игроков)/grade points rank""), point)",Chrome 100.0.4896.75,,,2022-04-14 16:15:15,2022-04-14 16:15:15,"0,000s",NOT_RUN
"comment("""")",Chrome 100.0.4896.75,Дописать проверки на физ. тестирование,,2022-04-14 16:15:15,2022-04-14 16:15:15,"0,000s",NOT_RUN
"click(findTestObject(""Object Repository/Avangard New/Object (Администратор)/Case (Рейтинг игроков)/button grade skill rank""))",Chrome 100.0.4896.75,Вкладка Оценка навыков,,2022-04-14 16:15:15,2022-04-14 16:15:16,"1,057s",PASSED
